6081997,balrog-kun,20587,2,4304478,2010-04-02T15:52:18Z
6083377,balrog-kun,20587,2,4304478,2010-04-02T15:55:20Z
6117288,STBrenden,1340045,5,15679236,2013-04-10T15:45:17Z
6117677,DaveHansenTiger,7168,1,419226,2007-09-13T14:29:15Z
6118144,Heptazane,23762,3,39280475,2016-05-13T01:32:13Z
6118638,DaveHansenTiger,7168,1,419554,2007-09-13T14:47:37Z
6119109,Glassman,447903,2,20170868,2014-01-24T03:22:50Z
6119525,STBrenden,1340045,2,15752734,2013-04-16T18:21:39Z
6119977,DaveHansenTiger,7168,1,419554,2007-09-13T15:12:48Z
6120358,lutz,5294,2,4023583,2010-03-03T10:48:46Z
6120774,compdude,282329,2,13406091,2012-10-07T23:01:59Z
6121160,STBrenden,1340045,2,21369919,2014-03-28T17:55:30Z
6121594,Natfoot,567792,2,38707112,2016-04-19T20:03:14Z
6122016,txrxio,178321,2,2787224,2009-10-08T20:54:02Z
6122405,zephyr,121241,2,1768800,2009-07-08T06:57:47Z
6122819,STBrenden,1340045,2,21371318,2014-03-28T19:24:13Z
6123217,DaveHansenTiger,7168,1,419554,2007-09-13T16:19:54Z
6123549,Dion Dock,97431,8,15634941,2013-04-07T04:08:37Z
6123818,balrog-kun,20587,4,4304478,2010-04-02T16:27:43Z
6124105,balrog-kun,20587,2,4304478,2010-04-02T16:28:24Z
6124383,balrog-kun,20587,3,4304478,2010-04-02T16:29:10Z
6124817,BallardMapper2012,1177412,5,15106420,2013-02-21T01:46:12Z
6125092,Paul Johnson,92286,3,1322573,2009-05-26T09:07:41Z
6125370,balrog-kun,20587,3,4304478,2010-04-02T16:31:02Z
6125667,Paul Johnson,92286,4,1760294,2009-07-07T09:37:05Z
6125946,STBrenden,1340045,5,15853444,2013-04-24T20:35:29Z
6126256,STBrenden,1340045,6,19555701,2013-12-20T20:18:01Z
6126639,DuncLaw,114615,4,7005421,2011-01-17T22:36:56Z
6126980,Dion Dock,97431,5,15634941,2013-04-07T04:08:33Z
6127328,STBrenden,1340045,8,20185808,2014-01-24T23:07:50Z
6127655,STBrenden,1340045,4,15934408,2013-05-01T15:31:09Z
6127941,compdude,282329,5,11011397,2012-03-17T19:53:50Z
6128364,silversmithw,3405117,5,38772934,2016-04-22T03:01:13Z
6128680,OSMF Redaction Account,722137,6,12300641,2012-07-18T22:34:12Z
6129002,sctrojan79,2601744,4,34621787,2015-10-13T21:12:24Z
6129335,balrog-kun,20587,2,4304478,2010-04-02T16:38:50Z
6129652,balrog-kun,20587,2,4304478,2010-04-02T16:39:45Z
6129978,GITNE,1836535,5,30720917,2015-05-02T13:20:27Z
6130316,STBrenden,1340045,5,15837760,2013-04-23T16:49:32Z
6130599,Paul Johnson,92286,3,1322573,2009-05-26T10:23:59Z
6130907,balrog-kun,20587,2,4304478,2010-04-02T16:44:23Z
6131310,talapus,2812957,4,34503892,2015-10-08T06:11:29Z
6131711,Семён Семёнов,706587,18,37073520,2016-02-08T07:03:27Z
6132151,rambudo,2140629,5,30753051,2015-05-03T16:32:44Z
6132467,balrog-kun,20587,2,4304478,2010-04-02T16:47:16Z
6132798,STBrenden,1340045,5,16049060,2013-05-09T15:01:40Z
